Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,7,45,1,Some Random Commen with Id 0
1,0,7,141,0,Some Random Commen with Id 1
2,0,7,127,2,Some Random Commen with Id 2
3,0,7,34,2,Some Random Commen with Id 3
4,0,7,115,9,Some Random Commen with Id 4
5,0,7,106,1,Some Random Commen with Id 5
6,0,7,132,1,Some Random Commen with Id 6
7,1,7,132,0,Some Random Commen with Id 7
8,1,7,99,8,Some Random Commen with Id 8
9,2,0,13,4,Some Random Commen with Id 9
10,2,0,10,2,Some Random Commen with Id 10
11,2,0,129,6,Some Random Commen with Id 11
12,2,0,95,2,Some Random Commen with Id 12
13,2,0,198,3,Some Random Commen with Id 13
14,2,0,68,3,Some Random Commen with Id 14
15,2,0,57,4,Some Random Commen with Id 15
16,2,0,56,9,Some Random Commen with Id 16
17,3,8,183,8,Some Random Commen with Id 17
18,3,8,160,2,Some Random Commen with Id 18
19,3,8,69,9,Some Random Commen with Id 19
20,3,8,175,8,Some Random Commen with Id 20
21,3,8,141,2,Some Random Commen with Id 21
22,3,8,70,7,Some Random Commen with Id 22
23,3,8,56,8,Some Random Commen with Id 23
24,3,8,190,4,Some Random Commen with Id 24
25,3,8,10,9,Some Random Commen with Id 25
26,4,6,46,5,Some Random Commen with Id 26
27,4,6,95,7,Some Random Commen with Id 27
28,4,6,121,7,Some Random Commen with Id 28
29,4,6,45,5,Some Random Commen with Id 29
30,4,6,124,0,Some Random Commen with Id 30
31,4,6,85,0,Some Random Commen with Id 31
32,5,7,192,5,Some Random Commen with Id 32
33,5,7,82,8,Some Random Commen with Id 33
34,6,7,191,2,Some Random Commen with Id 34
35,6,7,155,7,Some Random Commen with Id 35
36,7,5,34,1,Some Random Commen with Id 36
37,7,5,11,6,Some Random Commen with Id 37
38,7,5,161,3,Some Random Commen with Id 38
39,7,5,155,8,Some Random Commen with Id 39
40,7,5,11,4,Some Random Commen with Id 40
41,7,5,161,1,Some Random Commen with Id 41
42,7,5,29,1,Some Random Commen with Id 42
43,8,9,112,8,Some Random Commen with Id 43
44,8,9,194,7,Some Random Commen with Id 44
45,8,9,92,6,Some Random Commen with Id 45
46,8,9,72,5,Some Random Commen with Id 46
47,8,9,160,0,Some Random Commen with Id 47
48,8,9,110,9,Some Random Commen with Id 48
49,8,9,159,4,Some Random Commen with Id 49
50,9,1,28,6,Some Random Commen with Id 50
51,9,1,121,3,Some Random Commen with Id 51
52,9,1,174,2,Some Random Commen with Id 52
53,9,1,114,5,Some Random Commen with Id 53
